campaign_id,type,target_audience,engagement_rate,date_sent
CM2515,Push Notification,"C026, C030, C090, C010, C065",0.3,2025-09-12
CM2516,Email,"C043, C016, C059, C012, C007",0.22,2025-09-12
CM2517,SMS,"C010, C044, C027, C013, C002",0.44,2025-09-12
CM2518,Push Notification,"C012, C020, C020, C099, C032",0.61,2025-09-12
CM2519,SMS,"C042, C027, C066, C016, C031",0.44,2025-09-12
CM2520,Push Notification,"C072, C060, C028, C051, C063",0.28,2025-09-12
CM2521,Push Notification,"C084, C010, C052, C063, C069",0.58,2025-09-12
CM2522,SMS,"C081, C019, C009, C003, C047",0.42,2025-09-12
CM2523,SMS,"C015, C002, C061, C015, C033",0.23,2025-09-12
CM2524,Email,"C017, C067, C049, C012, C096",0.28,2025-09-12
CM2525,Push Notification,"C034, C097, C021, C056, C051",0.42,2025-09-12
CM2526,Push Notification,"C083, C022, C064, C067, C088",0.49,2025-09-12
CM2527,Push Notification,"C066, C091, C076, C080, C036",0.54,2025-09-12
CM2528,Push Notification,"C003, C096, C048, C045, C043",0.62,2025-09-12
CM2529,Email,"C005, C075, C072, C049, C012",0.2,2025-09-12
CM2530,Push Notification,"C075, C026, C095, C036, C088",0.28,2025-09-12
CM2531,Push Notification,"C052, C001, C032, C046, C075",0.69,2025-09-12
CM2532,Email,"C007, C053, C094, C095, C081",0.31,2025-09-12
CM2533,Push Notification,"C032, C073, C055, C040, C028",0.32,2025-09-12
CM2534,Email,"C066, C014, C087, C018, C025",0.3,2025-09-12
CM2535,Push Notification,"C057, C097, C061, C013, C067",0.6,2025-09-12
CM2536,SMS,"C011, C022, C067, C093, C042",0.27,2025-09-12
CM2537,Push Notification,"C082, C070, C002, C007, C065",0.31,2025-09-12
CM2538,Push Notification,"C048, C075, C093, C076, C066",0.35,2025-09-12
CM2539,Push Notification,"C055, C024, C049, C031, C081",0.31,2025-09-12
CM2540,Push Notification,"C038, C032, C044, C035, C069",0.09,2025-09-12
CM2541,SMS,"C011, C011, C021, C060, C032",0.62,2025-09-12
CM2542,SMS,"C031, C042, C005, C066, C047",0.5,2025-09-12
CM2543,Push Notification,"C015, C079, C087, C056, C057",0.19,2025-09-12
CM2544,Email,"C010, C052, C095, C055, C055",0.07,2025-09-12
CM2545,Email,"C033, C028, C005, C086, C084",0.23,2025-09-12
CM2546,Email,"C060, C036, C057, C029, C027",0.15,2025-09-12
CM2547,Email,"C097, C071, C004, C093, C047",0.21,2025-09-12
CM2548,Email,"C100, C089, C012, C083, C008",0.68,2025-09-12
CM2549,Email,"C068, C057, C012, C055, C039",0.31,2025-09-12
CM2550,SMS,"C100, C017, C019, C066, C036",0.3,2025-09-12
CM2551,SMS,"C096, C039, C067, C093, C008",0.62,2025-09-12
CM2552,Email,"C012, C050, C074, C021, C019",0.46,2025-09-12
CM2553,SMS,"C057, C025, C077, C042, C064",0.37,2025-09-12
CM2554,SMS,"C055, C025, C072, C075, C051",0.58,2025-09-12
CM2555,Email,"C094, C054, C056, C037, C019",0.69,2025-09-12
CM2556,Email,"C055, C017, C025, C051, C035",0.12,2025-09-12
CM2557,Email,"C024, C090, C044, C098, C049",0.35,2025-09-12
CM2558,Email,"C036, C092, C059, C037, C016",0.32,2025-09-12
CM2559,SMS,"C007, C039, C033, C093, C012",0.36,2025-09-12
CM2560,SMS,"C094, C017, C088, C058, C066",0.68,2025-09-12
CM2561,Push Notification,"C059, C055, C012, C042, C093",0.37,2025-09-12
CM2562,Push Notification,"C030, C022, C050, C047, C023",0.52,2025-09-12
CM2563,Push Notification,"C004, C021, C046, C051, C060",0.67,2025-09-12
CM2564,SMS,"C086, C009, C024, C095, C035",0.08,2025-09-12
CM2565,SMS,"C007, C087, C038, C051, C044",0.18,2025-09-12
CM2566,SMS,"C097, C051, C057, C036, C065",0.35,2025-09-12
CM2567,SMS,"C074, C012, C085, C056, C006",0.44,2025-09-12
CM2568,SMS,"C010, C034, C059, C018, C066",0.18,2025-09-12
CM2569,Push Notification,"C063, C051, C006, C045, C084",0.6,2025-09-12
CM2570,Email,"C040, C040, C003, C006, C050",0.38,2025-09-12
CM2571,SMS,"C060, C057, C081, C081, C011",0.11,2025-09-12
CM2572,SMS,"C074, C054, C082, C066, C037",0.47,2025-09-12
CM2573,Push Notification,"C043, C084, C088, C053, C003",0.6,2025-09-12
CM2574,SMS,"C048, C060, C059, C080, C068",0.54,2025-09-12
CM2575,SMS,"C083, C081, C026, C038, C067",0.49,2025-09-12
CM2576,SMS,"C096, C022, C083, C095, C044",0.33,2025-09-12
CM2577,SMS,"C079, C050, C100, C040, C050",0.61,2025-09-12
CM2578,SMS,"C079, C038, C069, C027, C066",0.14,2025-09-12
CM2579,Push Notification,"C083, C081, C076, C076, C055",0.5,2025-09-12
CM2580,SMS,"C088, C066, C088, C093, C086",0.06,2025-09-12
CM2581,SMS,"C048, C006, C066, C080, C035",0.27,2025-09-12
CM2582,Push Notification,"C065, C098, C024, C032, C043",0.62,2025-09-12
CM2583,Email,"C088, C028, C011, C099, C069",0.23,2025-09-12
CM2584,SMS,"C099, C055, C008, C066, C092",0.56,2025-09-12
CM2585,Email,"C013, C078, C038, C056, C065",0.61,2025-09-12
CM2586,Email,"C077, C042, C052, C019, C038",0.37,2025-09-12
CM2587,Email,"C081, C049, C005, C014, C005",0.18,2025-09-12
CM2588,Push Notification,"C031, C079, C081, C058, C092",0.47,2025-09-12
CM2589,Email,"C074, C033, C005, C040, C063",0.69,2025-09-12
CM2590,Push Notification,"C095, C100, C040, C083, C005",0.19,2025-09-12
CM2591,SMS,"C089, C015, C032, C044, C052",0.43,2025-09-12
CM2592,Push Notification,"C093, C064, C015, C011, C032",0.69,2025-09-12
CM2593,Email,"C005, C047, C076, C087, C083",0.41,2025-09-12
CM2594,SMS,"C022, C095, C005, C078, C066",0.16,2025-09-12
CM2595,Push Notification,"C018, C053, C033, C087, C017",0.19,2025-09-12
CM2596,Email,"C098, C050, C085, C009, C076",0.52,2025-09-12
CM2597,Push Notification,"C011, C065, C100, C047, C084",0.55,2025-09-12
CM2598,SMS,"C042, C095, C022, C033, C029",0.15,2025-09-12
CM2599,Push Notification,"C030, C012, C021, C059, C089",0.69,2025-09-12
CM2600,SMS,"C015, C051, C052, C020, C008",0.13,2025-09-12
CM2601,Email,"C087, C077, C036, C011, C030",0.1,2025-09-12
CM2602,Push Notification,"C077, C094, C066, C024, C068",0.23,2025-09-12
CM2603,Push Notification,"C036, C098, C009, C056, C046",0.64,2025-09-12
CM2604,SMS,"C050, C042, C079, C086, C083",0.45,2025-09-12
CM2605,Push Notification,"C063, C035, C002, C018, C072",0.23,2025-09-12
CM2606,Push Notification,"C075, C063, C097, C085, C047",0.07,2025-09-12
CM2607,SMS,"C092, C028, C028, C096, C100",0.53,2025-09-12
CM2608,SMS,"C037, C035, C073, C017, C063",0.1,2025-09-12
CM2609,Email,"C086, C035, C081, C032, C084",0.52,2025-09-12
CM2610,Email,"C063, C037, C099, C029, C006",0.39,2025-09-12
CM2611,SMS,"C023, C053, C072, C059, C043",0.57,2025-09-12
CM2612,Push Notification,"C092, C042, C001, C077, C096",0.37,2025-09-12
CM2613,SMS,"C009, C020, C081, C094, C055",0.31,2025-09-12
CM2614,SMS,"C100, C027, C006, C032, C057",0.55,2025-09-12
CM2615,Push Notification,"C018, C043, C044, C083, C054",0.33,2025-09-12
CM2616,Email,"C022, C012, C060, C073, C056",0.69,2025-09-12
CM2617,SMS,"C100, C086, C066, C029, C043",0.66,2025-09-12
CM2618,Email,"C026, C042, C008, C020, C073",0.06,2025-09-12
CM2619,SMS,"C066, C018, C043, C015, C098",0.42,2025-09-12
CM2620,Push Notification,"C071, C085, C083, C024, C090",0.38,2025-09-12
CM2621,Email,"C014, C071, C099, C098, C089",0.69,2025-09-12
CM2622,Push Notification,"C068, C086, C060, C021, C068",0.34,2025-09-12
CM2623,Email,"C024, C046, C073, C012, C065",0.26,2025-09-12
CM2624,Push Notification,"C023, C098, C047, C005, C019",0.09,2025-09-12
CM2625,Push Notification,"C010, C071, C043, C006, C023",0.19,2025-09-12
CM2626,Email,"C054, C066, C061, C067, C099",0.42,2025-09-12
CM2627,Push Notification,"C038, C031, C046, C064, C054",0.22,2025-09-12
CM2628,SMS,"C087, C074, C025, C084, C018",0.07,2025-09-12
CM2629,Email,"C086, C067, C092, C073, C080",0.62,2025-09-12
CM2630,Push Notification,"C019, C040, C026, C040, C082",0.67,2025-09-12
CM2631,SMS,"C098, C039, C097, C010, C053",0.59,2025-09-12
CM2632,Push Notification,"C009, C083, C029, C035, C048",0.39,2025-09-12
CM2633,Email,"C066, C093, C069, C002, C043",0.68,2025-09-12
CM2634,SMS,"C065, C067, C045, C002, C078",0.49,2025-09-12
CM2635,Email,"C024, C066, C088, C013, C073",0.1,2025-09-12
CM2636,Email,"C081, C089, C087, C083, C035",0.57,2025-09-12
CM2637,SMS,"C090, C080, C007, C068, C048",0.15,2025-09-12
CM2638,Push Notification,"C066, C052, C076, C050, C080",0.13,2025-09-12
CM2639,Email,"C098, C075, C024, C076, C077",0.62,2025-09-12
CM2640,Email,"C096, C035, C008, C069, C076",0.2,2025-09-12
CM2641,SMS,"C081, C040, C006, C024, C075",0.55,2025-09-12
CM2642,Email,"C018, C077, C061, C018, C007",0.45,2025-09-12
CM2643,Push Notification,"C046, C025, C096, C091, C042",0.2,2025-09-12
CM2644,Email,"C012, C063, C064, C012, C012",0.06,2025-09-12
CM2645,Push Notification,"C075, C087, C020, C036, C019",0.23,2025-09-12
CM2646,Push Notification,"C024, C010, C051, C078, C021",0.08,2025-09-12
CM2647,Push Notification,"C096, C098, C100, C045, C076",0.21,2025-09-12
CM2648,Push Notification,"C014, C063, C051, C047, C062",0.2,2025-09-12
CM2649,Push Notification,"C044, C075, C099, C089, C083",0.32,2025-09-12
CM2650,SMS,"C021, C017, C014, C014, C007",0.29,2025-09-12
CM2651,SMS,"C098, C056, C051, C005, C079",0.6,2025-09-12
CM2652,SMS,"C099, C052, C037, C049, C031",0.67,2025-09-12
CM2653,Push Notification,"C080, C069, C018, C094, C026",0.14,2025-09-12
CM2654,Email,"C094, C083, C052, C084, C072",0.33,2025-09-12
CM2655,Email,"C088, C062, C079, C065, C053",0.19,2025-09-12
CM2656,Email,"C019, C048, C024, C086, C085",0.28,2025-09-12
CM2657,Email,"C013, C003, C031, C098, C042",0.6,2025-09-12
CM2658,Email,"C006, C026, C068, C035, C017",0.32,2025-09-12
CM2659,SMS,"C048, C051, C068, C078, C056",0.67,2025-09-12
CM2660,Push Notification,"C040, C073, C025, C002, C095",0.2,2025-09-12
CM2661,Push Notification,"C042, C054, C063, C096, C064",0.37,2025-09-12
CM2662,Email,"C057, C075, C059, C078, C088",0.18,2025-09-12
CM2663,SMS,"C031, C002, C023, C047, C060",0.4,2025-09-12
CM2664,Email,"C045, C074, C079, C087, C021",0.14,2025-09-12
CM2665,Email,"C043, C037, C014, C063, C051",0.67,2025-09-12
CM2666,Email,"C044, C014, C088, C095, C031",0.4,2025-09-12
CM2667,Push Notification,"C039, C063, C014, C095, C001",0.37,2025-09-12
CM2668,Push Notification,"C092, C005, C091, C044, C039",0.18,2025-09-12
CM2669,SMS,"C062, C051, C097, C068, C065",0.26,2025-09-12
CM2670,Email,"C046, C096, C086, C066, C095",0.3,2025-09-12
CM2671,SMS,"C072, C042, C031, C038, C046",0.66,2025-09-12
CM2672,SMS,"C087, C042, C064, C088, C075",0.41,2025-09-12
CM2673,SMS,"C001, C081, C017, C092, C041",0.36,2025-09-12
CM2674,SMS,"C059, C070, C098, C095, C023",0.12,2025-09-12
CM2675,SMS,"C053, C049, C083, C094, C006",0.51,2025-09-12
CM2676,Push Notification,"C054, C046, C046, C021, C012",0.64,2025-09-12
CM2677,Email,"C076, C092, C078, C039, C020",0.65,2025-09-12
CM2678,Email,"C081, C099, C065, C090, C026",0.19,2025-09-12
CM2679,Email,"C052, C100, C067, C043, C014",0.63,2025-09-12
CM2680,SMS,"C047, C073, C043, C075, C098",0.08,2025-09-12
CM2681,SMS,"C063, C063, C022, C069, C008",0.23,2025-09-12
CM2682,Push Notification,"C002, C064, C091, C005, C099",0.66,2025-09-12
CM2683,Push Notification,"C003, C036, C050, C016, C100",0.37,2025-09-12
CM2684,Email,"C024, C049, C032, C071, C052",0.55,2025-09-12
CM2685,Push Notification,"C015, C015, C092, C024, C080",0.38,2025-09-12
CM2686,Email,"C047, C099, C096, C073, C068",0.12,2025-09-12
CM2687,Push Notification,"C058, C062, C081, C072, C030",0.4,2025-09-12
CM2688,Email,"C077, C018, C037, C040, C055",0.64,2025-09-12
CM2689,Email,"C084, C026, C013, C021, C002",0.31,2025-09-12
CM2690,Push Notification,"C049, C007, C061, C013, C063",0.21,2025-09-12
CM2691,SMS,"C088, C075, C044, C085, C025",0.65,2025-09-12
CM2692,SMS,"C044, C036, C052, C006, C014",0.24,2025-09-12
CM2693,Push Notification,"C093, C069, C046, C013, C040",0.33,2025-09-12
CM2694,Email,"C061, C095, C033, C048, C078",0.17,2025-09-12
CM2695,SMS,"C060, C031, C041, C002, C086",0.24,2025-09-12
CM2696,SMS,"C074, C002, C019, C043, C089",0.33,2025-09-12
CM2697,Push Notification,"C083, C001, C053, C073, C091",0.69,2025-09-12
CM2698,SMS,"C060, C004, C079, C088, C042",0.08,2025-09-12
CM2699,Email,"C019, C053, C081, C030, C012",0.29,2025-09-12
CM2700,Push Notification,"C008, C017, C020, C091, C009",0.47,2025-09-12
CM2701,Email,"C011, C050, C013, C086, C046",0.06,2025-09-12
CM2702,Email,"C029, C045, C013, C061, C048",0.49,2025-09-12
CM2703,SMS,"C010, C005, C082, C061, C061",0.68,2025-09-12
CM2704,Push Notification,"C041, C048, C094, C058, C027",0.48,2025-09-12
CM2705,Email,"C039, C048, C026, C007, C056",0.28,2025-09-12
CM2706,SMS,"C003, C023, C041, C051, C057",0.53,2025-09-12
CM2707,Email,"C009, C014, C086, C072, C044",0.6,2025-09-12
CM2708,Push Notification,"C016, C030, C049, C010, C069",0.38,2025-09-12
CM2709,Push Notification,"C051, C020, C006, C058, C089",0.06,2025-09-12
CM2710,Push Notification,"C091, C081, C095, C078, C099",0.51,2025-09-12
CM2711,SMS,"C001, C076, C090, C040, C084",0.57,2025-09-12
CM2712,Email,"C018, C073, C087, C030, C022",0.32,2025-09-12
CM2713,Email,"C024, C018, C004, C066, C032",0.23,2025-09-12
CM2714,Email,"C052, C011, C016, C087, C078",0.25,2025-09-12
CM2715,Email,"C050, C004, C009, C042, C002",0.42,2025-09-12
CM2716,SMS,"C098, C021, C092, C082, C022",0.51,2025-09-12
CM2717,SMS,"C004, C040, C065, C060, C060",0.26,2025-09-12
CM2718,SMS,"C014, C013, C026, C014, C011",0.34,2025-09-12
CM2719,Email,"C032, C091, C059, C046, C046",0.65,2025-09-12
CM2720,Email,"C057, C046, C075, C063, C071",0.31,2025-09-12
CM2721,Email,"C051, C061, C072, C017, C059",0.33,2025-09-12
CM2722,Push Notification,"C065, C098, C026, C090, C080",0.68,2025-09-12
CM2723,Push Notification,"C058, C064, C019, C077, C040",0.09,2025-09-12
CM2724,Push Notification,"C018, C033, C025, C042, C028",0.32,2025-09-12
CM2725,Push Notification,"C090, C079, C082, C069, C076",0.27,2025-09-12
CM2726,Push Notification,"C019, C059, C053, C084, C092",0.1,2025-09-12
CM2727,SMS,"C075, C054, C038, C081, C001",0.48,2025-09-12
CM2728,Push Notification,"C083, C015, C025, C083, C091",0.25,2025-09-12
CM2729,SMS,"C007, C035, C098, C082, C092",0.34,2025-09-12
CM2730,Email,"C031, C008, C029, C011, C001",0.1,2025-09-12
CM2731,SMS,"C003, C073, C018, C036, C094",0.19,2025-09-12
CM2732,Email,"C008, C066, C012, C063, C012",0.36,2025-09-12
CM2733,SMS,"C019, C039, C012, C054, C049",0.41,2025-09-12
CM2734,Push Notification,"C036, C089, C088, C042, C024",0.37,2025-09-12
CM2735,Email,"C019, C021, C031, C029, C024",0.57,2025-09-12
CM2736,SMS,"C053, C094, C074, C013, C077",0.17,2025-09-12
CM2737,Push Notification,"C004, C051, C009, C076, C053",0.69,2025-09-12
CM2738,Push Notification,"C007, C062, C047, C082, C095",0.2,2025-09-12
CM2739,SMS,"C061, C021, C039, C082, C030",0.61,2025-09-12
CM2740,Push Notification,"C088, C094, C060, C064, C016",0.31,2025-09-12
CM2741,SMS,"C097, C051, C035, C061, C056",0.33,2025-09-12
CM2742,SMS,"C067, C098, C027, C097, C031",0.12,2025-09-12
CM2743,Push Notification,"C002, C028, C039, C076, C002",0.54,2025-09-12
CM2744,Push Notification,"C082, C041, C076, C093, C038",0.56,2025-09-12
CM2745,Push Notification,"C021, C037, C049, C063, C095",0.63,2025-09-12
CM2746,SMS,"C083, C065, C079, C099, C048",0.69,2025-09-12
CM2747,Email,"C085, C034, C026, C044, C015",0.22,2025-09-12
CM2748,Email,"C063, C096, C011, C096, C036",0.17,2025-09-12
CM2749,SMS,"C085, C034, C054, C065, C001",0.49,2025-09-12
CM2750,SMS,"C028, C091, C019, C052, C076",0.35,2025-09-12
CM2751,Push Notification,"C051, C085, C051, C072, C016",0.35,2025-09-12
CM2752,Email,"C081, C099, C005, C001, C002",0.05,2025-09-12
CM2753,SMS,"C029, C011, C022, C022, C009",0.41,2025-09-12
CM2754,SMS,"C050, C042, C017, C018, C085",0.62,2025-09-12
CM2755,SMS,"C040, C026, C094, C067, C087",0.22,2025-09-12
CM2756,Push Notification,"C028, C087, C073, C041, C058",0.63,2025-09-12
CM2757,Push Notification,"C099, C025, C054, C037, C044",0.62,2025-09-12
CM2758,Email,"C011, C080, C057, C081, C054",0.5,2025-09-12
CM2759,SMS,"C037, C068, C090, C020, C042",0.26,2025-09-12
CM2760,SMS,"C024, C096, C062, C029, C032",0.44,2025-09-12
CM2761,Push Notification,"C051, C041, C093, C039, C035",0.45,2025-09-12
CM2762,Push Notification,"C024, C006, C090, C061, C057",0.46,2025-09-12
CM2763,Email,"C025, C069, C090, C068, C075",0.64,2025-09-12
CM2764,SMS,"C073, C057, C063, C036, C011",0.62,2025-09-12
CM2765,Push Notification,"C061, C078, C040, C009, C042",0.12,2025-09-12
CM2766,Push Notification,"C017, C099, C051, C055, C071",0.29,2025-09-12
CM2767,Push Notification,"C053, C037, C005, C060, C095",0.23,2025-09-12
CM2768,SMS,"C087, C054, C083, C032, C084",0.6,2025-09-12
CM2769,SMS,"C018, C076, C022, C080, C016",0.48,2025-09-12
CM2770,Email,"C017, C039, C008, C031, C093",0.05,2025-09-12
CM2771,Push Notification,"C094, C061, C042, C026, C049",0.09,2025-09-12
CM2772,Email,"C017, C048, C057, C022, C076",0.2,2025-09-12
CM2773,SMS,"C094, C079, C027, C078, C019",0.14,2025-09-12
CM2774,SMS,"C090, C040, C073, C031, C029",0.13,2025-09-12
CM2775,Push Notification,"C021, C008, C067, C082, C040",0.55,2025-09-12
CM2776,SMS,"C096, C069, C049, C050, C066",0.64,2025-09-12
CM2777,SMS,"C026, C061, C076, C055, C029",0.61,2025-09-12
CM2778,Email,"C023, C007, C077, C035, C100",0.67,2025-09-12
CM2779,Email,"C009, C034, C090, C049, C071",0.06,2025-09-12
CM2780,Email,"C091, C088, C027, C078, C027",0.38,2025-09-12
CM2781,Push Notification,"C006, C085, C075, C094, C023",0.51,2025-09-12
CM2782,SMS,"C056, C028, C011, C032, C022",0.54,2025-09-12
CM2783,Email,"C037, C050, C029, C026, C031",0.44,2025-09-12
CM2784,Push Notification,"C010, C095, C020, C018, C030",0.53,2025-09-12
CM2785,Email,"C035, C064, C012, C077, C042",0.33,2025-09-12
CM2786,Email,"C035, C037, C053, C016, C027",0.46,2025-09-12
CM2787,Push Notification,"C015, C076, C050, C032, C041",0.41,2025-09-12
CM2788,Push Notification,"C096, C060, C063, C099, C007",0.21,2025-09-12
CM2789,Email,"C017, C016, C008, C064, C047",0.25,2025-09-12
CM2790,Email,"C007, C014, C025, C007, C095",0.1,2025-09-12
CM2791,Push Notification,"C100, C075, C098, C018, C088",0.1,2025-09-12
CM2792,Email,"C050, C077, C078, C061, C091",0.07,2025-09-12
CM2793,Push Notification,"C006, C020, C026, C022, C068",0.27,2025-09-12
CM2794,SMS,"C083, C037, C026, C033, C059",0.22,2025-09-12
CM2795,Email,"C080, C021, C033, C099, C049",0.05,2025-09-12
CM2796,Email,"C097, C010, C058, C079, C052",0.3,2025-09-12
CM2797,SMS,"C005, C082, C096, C076, C089",0.65,2025-09-12
CM2798,Email,"C056, C013, C071, C005, C040",0.55,2025-09-12
CM2799,Email,"C049, C018, C059, C012, C097",0.45,2025-09-12
CM2800,SMS,"C018, C078, C060, C001, C074",0.6,2025-09-12
CM2801,SMS,"C003, C038, C038, C022, C025",0.44,2025-09-12
CM2802,SMS,"C083, C029, C001, C076, C024",0.57,2025-09-12
CM2803,SMS,"C028, C081, C099, C082, C071",0.53,2025-09-12
CM2804,SMS,"C004, C099, C033, C016, C070",0.62,2025-09-12
CM2805,SMS,"C084, C020, C039, C020, C034",0.56,2025-09-12
CM2806,Email,"C067, C096, C046, C095, C052",0.28,2025-09-12
CM2807,Push Notification,"C056, C075, C073, C044, C100",0.1,2025-09-12
CM2808,Email,"C062, C015, C066, C045, C068",0.12,2025-09-12
CM2809,Email,"C057, C046, C038, C088, C065",0.1,2025-09-12
CM2810,Email,"C040, C077, C061, C022, C069",0.1,2025-09-12
CM2811,Email,"C077, C072, C031, C019, C030",0.41,2025-09-12
CM2812,Email,"C039, C038, C100, C006, C046",0.16,2025-09-12
CM2813,Push Notification,"C005, C078, C004, C092, C073",0.67,2025-09-12
CM2814,SMS,"C054, C022, C017, C094, C060",0.45,2025-09-12
CM2815,SMS,"C033, C056, C010, C016, C025",0.12,2025-09-12
CM2816,Email,"C093, C024, C023, C095, C092",0.05,2025-09-12
CM2817,Push Notification,"C048, C026, C015, C022, C086",0.42,2025-09-12
CM2818,Push Notification,"C073, C072, C072, C091, C092",0.22,2025-09-12
CM2819,Email,"C036, C046, C036, C060, C011",0.64,2025-09-12
CM2820,Push Notification,"C040, C056, C089, C100, C004",0.12,2025-09-12
CM2821,Email,"C033, C027, C096, C032, C100",0.54,2025-09-12
CM2822,SMS,"C030, C048, C071, C079, C043",0.19,2025-09-12
CM2823,Email,"C012, C100, C033, C100, C071",0.26,2025-09-12
CM2824,Push Notification,"C041, C024, C068, C047, C088",0.56,2025-09-12
CM2825,Push Notification,"C027, C007, C010, C036, C061",0.29,2025-09-12
CM2826,SMS,"C071, C090, C093, C030, C095",0.13,2025-09-12
CM2827,SMS,"C091, C093, C091, C001, C047",0.28,2025-09-12
CM2828,Email,"C097, C050, C091, C038, C093",0.55,2025-09-12
CM2829,Email,"C038, C079, C002, C094, C021",0.28,2025-09-12
CM2830,SMS,"C079, C038, C016, C047, C060",0.12,2025-09-12
CM2831,SMS,"C056, C029, C085, C034, C007",0.41,2025-09-12
CM2832,SMS,"C010, C058, C063, C025, C089",0.7,2025-09-12
CM2833,Email,"C057, C093, C089, C074, C075",0.51,2025-09-12
CM2834,Email,"C080, C063, C097, C039, C083",0.37,2025-09-12
CM2835,Email,"C016, C045, C026, C095, C094",0.5,2025-09-12
CM2836,SMS,"C064, C057, C095, C054, C016",0.68,2025-09-12
CM2837,Push Notification,"C013, C087, C058, C042, C062",0.36,2025-09-12
CM2838,Email,"C046, C002, C011, C050, C051",0.62,2025-09-12
CM2839,Push Notification,"C032, C034, C064, C076, C096",0.34,2025-09-12
CM2840,Email,"C009, C048, C068, C050, C098",0.69,2025-09-12
CM2841,SMS,"C027, C090, C063, C057, C004",0.35,2025-09-12
CM2842,SMS,"C041, C019, C005, C096, C071",0.4,2025-09-12
CM2843,Push Notification,"C067, C003, C007, C044, C052",0.06,2025-09-12
CM2844,Email,"C023, C063, C077, C093, C021",0.37,2025-09-12
CM2845,Push Notification,"C004, C018, C065, C007, C075",0.45,2025-09-12
CM2846,Email,"C063, C072, C032, C068, C002",0.14,2025-09-12
CM2847,SMS,"C025, C029, C025, C072, C058",0.64,2025-09-12
CM2848,Email,"C059, C005, C066, C029, C025",0.12,2025-09-12
CM2849,SMS,"C011, C032, C025, C054, C033",0.55,2025-09-12
CM2850,SMS,"C085, C011, C006, C087, C012",0.4,2025-09-12
CM2851,Email,"C027, C083, C076, C036, C099",0.26,2025-09-12
CM2852,Email,"C015, C100, C019, C006, C071",0.24,2025-09-12
CM2853,Email,"C038, C028, C063, C094, C057",0.42,2025-09-12
CM2854,Push Notification,"C051, C063, C085, C069, C031",0.61,2025-09-12
CM2855,SMS,"C057, C043, C090, C017, C058",0.28,2025-09-12
CM2856,SMS,"C028, C100, C048, C045, C026",0.32,2025-09-12
CM2857,Email,"C032, C094, C092, C052, C031",0.11,2025-09-12
CM2858,Email,"C032, C026, C060, C029, C090",0.18,2025-09-12
CM2859,Push Notification,"C096, C037, C023, C006, C027",0.59,2025-09-12
CM2860,Push Notification,"C090, C071, C044, C080, C031",0.43,2025-09-12
CM2861,Push Notification,"C084, C073, C089, C063, C076",0.33,2025-09-12
CM2862,SMS,"C041, C054, C081, C005, C008",0.16,2025-09-12
CM2863,Email,"C014, C076, C033, C081, C084",0.11,2025-09-12
CM2864,Push Notification,"C051, C088, C043, C048, C070",0.17,2025-09-12
CM2865,SMS,"C078, C061, C063, C094, C079",0.13,2025-09-12
CM2866,SMS,"C027, C068, C037, C014, C058",0.69,2025-09-12
CM2867,Push Notification,"C036, C079, C067, C093, C036",0.57,2025-09-12
CM2868,SMS,"C086, C030, C095, C034, C036",0.69,2025-09-12
CM2869,SMS,"C083, C058, C012, C043, C072",0.38,2025-09-12
CM2870,SMS,"C031, C045, C072, C013, C059",0.17,2025-09-12
CM2871,Push Notification,"C052, C043, C084, C017, C059",0.26,2025-09-12
CM2872,SMS,"C044, C036, C028, C035, C044",0.55,2025-09-12
CM2873,Push Notification,"C001, C058, C012, C090, C014",0.68,2025-09-12
CM2874,SMS,"C039, C005, C052, C065, C011",0.69,2025-09-12
CM2875,SMS,"C006, C089, C022, C093, C011",0.69,2025-09-12
CM2876,Push Notification,"C094, C021, C043, C012, C014",0.28,2025-09-12
CM2877,Push Notification,"C032, C077, C048, C017, C011",0.15,2025-09-12
CM2878,Push Notification,"C044, C010, C008, C025, C079",0.54,2025-09-12
CM2879,SMS,"C068, C002, C001, C071, C074",0.66,2025-09-12
CM2880,Email,"C043, C061, C081, C079, C083",0.68,2025-09-12
CM2881,Email,"C030, C039, C065, C036, C010",0.06,2025-09-12
CM2882,Push Notification,"C081, C087, C043, C063, C083",0.41,2025-09-12
CM2883,SMS,"C082, C076, C041, C023, C076",0.19,2025-09-12
CM2884,Email,"C045, C079, C058, C061, C016",0.61,2025-09-12
CM2885,SMS,"C062, C032, C078, C094, C098",0.61,2025-09-12
CM2886,SMS,"C090, C074, C020, C088, C089",0.52,2025-09-12
CM2887,Push Notification,"C070, C039, C038, C039, C084",0.1,2025-09-12
CM2888,Push Notification,"C089, C035, C073, C033, C068",0.09,2025-09-12
CM2889,SMS,"C070, C088, C014, C033, C014",0.08,2025-09-12
CM2890,SMS,"C062, C015, C087, C067, C092",0.16,2025-09-12
CM2891,SMS,"C030, C023, C032, C040, C075",0.58,2025-09-12
CM2892,Email,"C007, C017, C081, C039, C015",0.48,2025-09-12
CM2893,Push Notification,"C065, C030, C055, C080, C059",0.31,2025-09-12
CM2894,Email,"C033, C041, C025, C003, C041",0.47,2025-09-12
CM2895,Push Notification,"C003, C084, C007, C070, C017",0.24,2025-09-12
CM2896,SMS,"C045, C007, C044, C029, C044",0.54,2025-09-12
CM2897,Push Notification,"C080, C007, C011, C085, C050",0.68,2025-09-12
CM2898,Email,"C004, C079, C039, C096, C076",0.27,2025-09-12
