asset_id,type,topic,engagement_score
M2579,Audio,Offer,0.69
M2580,Video,Offer,0.28
M2581,Audio,Network,0.52
M2582,Video,Customer Service,0.14
M2583,Audio,Network,0.76
M2584,Image,Customer Service,0.04
M2585,Video,Customer Service,0.45
M2586,Audio,Offer,0.26
M2587,Image,Network,0.15
M2588,Audio,Event,0.01
M2589,Video,Customer Service,0.79
M2590,Video,Customer Service,0.76
M2591,Image,Network,0.34
M2592,Video,Customer Service,0.13
M2593,Video,Customer Service,0.76
M2594,Image,Offer,0.27
M2595,Audio,Customer Service,0.28
M2596,Audio,Network,0.85
M2597,Video,Offer,0.41
M2598,Image,Customer Service,0.73
M2599,Video,Offer,0.72
M2600,Audio,Offer,0.91
M2601,Image,Event,0.79
M2602,Image,Network,0.53
M2603,Audio,Customer Service,0.52
M2604,Video,Customer Service,0.21
M2605,Audio,Event,0.17
M2606,Video,Network,0.36
M2607,Audio,Event,0.64
M2608,Audio,Event,0.56
M2609,Video,Event,0.3
M2610,Video,Customer Service,0.46
M2611,Audio,Event,0.46
M2612,Audio,Event,0.62
M2613,Audio,Network,0.5
M2614,Audio,Customer Service,0.18
M2615,Video,Network,0.84
M2616,Image,Network,0.72
M2617,Image,Customer Service,0.32
M2618,Video,Customer Service,0.89
M2619,Audio,Network,0.62
M2620,Image,Event,0.09
M2621,Audio,Event,0.76
M2622,Image,Offer,0.69
M2623,Audio,Customer Service,0.74
M2624,Video,Network,0.48
M2625,Audio,Network,0.13
M2626,Image,Offer,0.05
M2627,Image,Network,0.09
M2628,Image,Customer Service,0.54
M2629,Audio,Event,0.04
M2630,Audio,Network,0.05
M2631,Audio,Event,0.96
M2632,Video,Offer,0.57
M2633,Video,Customer Service,0.6
M2634,Audio,Customer Service,0.8
M2635,Audio,Event,0.61
M2636,Video,Event,0.17
M2637,Image,Offer,0.06
M2638,Video,Event,0.97
M2639,Video,Customer Service,0.88
M2640,Video,Offer,0.25
M2641,Image,Event,0.95
M2642,Image,Network,0.81
M2643,Video,Offer,0.08
M2644,Audio,Event,0.11
M2645,Audio,Event,0.83
M2646,Image,Network,0.48
M2647,Video,Offer,0.06
M2648,Audio,Network,0.96
M2649,Video,Customer Service,0.4
M2650,Video,Event,0.28
M2651,Video,Network,0.27
M2652,Audio,Event,0.38
M2653,Video,Network,0.36
M2654,Audio,Offer,0.01
M2655,Video,Event,0.91
M2656,Video,Offer,0.11
M2657,Audio,Offer,0.6
M2658,Image,Event,0.89
M2659,Video,Event,0.59
M2660,Audio,Customer Service,0.42
M2661,Image,Network,0.79
M2662,Audio,Offer,0.65
M2663,Video,Event,0.66
M2664,Video,Customer Service,0.54
M2665,Video,Customer Service,0.68
M2666,Video,Customer Service,0.93
M2667,Audio,Offer,0.55
M2668,Video,Event,0.49
M2669,Audio,Offer,0.19
M2670,Video,Customer Service,0.4
M2671,Video,Customer Service,0.36
M2672,Image,Offer,0.7
M2673,Image,Network,0.96
M2674,Video,Network,0.13
M2675,Video,Event,0.1
M2676,Image,Network,0.67
M2677,Video,Offer,0.0
M2678,Audio,Network,0.38
M2679,Image,Network,0.22
M2680,Image,Offer,0.41
M2681,Video,Event,0.17
M2682,Audio,Network,0.05
M2683,Video,Offer,0.66
M2684,Video,Offer,0.91
M2685,Video,Event,0.65
M2686,Video,Offer,0.9
M2687,Video,Customer Service,0.52
M2688,Audio,Customer Service,0.47
M2689,Video,Network,0.68
M2690,Video,Event,0.01
M2691,Audio,Network,0.33
M2692,Audio,Event,0.75
M2693,Audio,Event,0.34
M2694,Image,Event,0.78
M2695,Audio,Event,0.96
M2696,Video,Network,0.78
M2697,Video,Event,0.85
M2698,Audio,Offer,0.09
M2699,Image,Customer Service,0.79
M2700,Image,Network,0.89
M2701,Video,Offer,0.47
M2702,Audio,Offer,0.74
M2703,Audio,Customer Service,0.55
M2704,Image,Event,0.38
M2705,Image,Offer,0.14
M2706,Image,Event,0.67
M2707,Audio,Event,0.32
M2708,Audio,Offer,0.16
M2709,Image,Customer Service,0.87
M2710,Image,Network,0.8
M2711,Audio,Network,0.9
M2712,Audio,Offer,0.65
M2713,Audio,Customer Service,0.34
M2714,Audio,Network,0.49
M2715,Video,Customer Service,0.67
M2716,Video,Customer Service,0.0
M2717,Video,Network,0.08
M2718,Image,Event,0.62
M2719,Audio,Network,0.17
M2720,Image,Network,0.49
M2721,Video,Offer,0.33
M2722,Image,Network,0.69
M2723,Audio,Network,0.33
M2724,Video,Customer Service,0.24
M2725,Audio,Event,0.54
M2726,Image,Network,0.12
M2727,Video,Network,0.7
M2728,Image,Offer,0.35
M2729,Image,Event,0.67
M2730,Audio,Event,0.95
M2731,Video,Network,0.19
M2732,Video,Offer,0.68
M2733,Audio,Network,0.53
M2734,Video,Customer Service,0.17
M2735,Video,Offer,0.76
M2736,Video,Offer,0.58
M2737,Audio,Customer Service,0.4
M2738,Audio,Customer Service,0.83
M2739,Video,Customer Service,0.67
M2740,Video,Event,0.7
M2741,Image,Customer Service,0.64
M2742,Video,Offer,0.99
M2743,Audio,Offer,0.04
M2744,Image,Event,0.24
M2745,Video,Network,0.91
M2746,Audio,Network,0.59
M2747,Audio,Offer,0.19
M2748,Video,Offer,0.7
M2749,Video,Customer Service,0.76
M2750,Image,Network,0.83
M2751,Video,Event,0.19
M2752,Audio,Customer Service,0.85
M2753,Audio,Customer Service,0.11
M2754,Image,Offer,0.53
M2755,Video,Customer Service,0.5
M2756,Image,Customer Service,0.92
M2757,Image,Customer Service,0.86
M2758,Audio,Customer Service,0.53
M2759,Image,Customer Service,0.71
M2760,Audio,Customer Service,0.54
M2761,Audio,Network,0.34
M2762,Video,Customer Service,0.22
M2763,Video,Offer,0.83
M2764,Video,Customer Service,0.01
M2765,Audio,Offer,0.75
M2766,Audio,Customer Service,0.37
M2767,Audio,Customer Service,0.87
M2768,Audio,Offer,0.72
M2769,Video,Event,0.21
M2770,Audio,Event,0.1
M2771,Audio,Event,0.67
M2772,Audio,Event,0.23
M2773,Video,Event,0.44
M2774,Video,Customer Service,0.48
M2775,Image,Customer Service,0.42
M2776,Image,Network,0.02
M2777,Audio,Event,0.42
M2778,Audio,Customer Service,0.42
M2779,Audio,Event,0.15
M2780,Video,Event,0.41
M2781,Audio,Event,0.49
M2782,Image,Network,0.08
M2783,Image,Offer,0.06
M2784,Audio,Offer,0.8
M2785,Audio,Network,0.97
M2786,Video,Customer Service,0.44
M2787,Image,Customer Service,0.98
M2788,Image,Network,0.86
M2789,Image,Event,0.89
M2790,Image,Offer,0.41
M2791,Video,Event,0.46
M2792,Image,Customer Service,0.53
M2793,Audio,Offer,0.8
M2794,Image,Customer Service,0.49
M2795,Audio,Network,0.92
M2796,Image,Customer Service,0.64
M2797,Audio,Event,0.62
M2798,Image,Network,0.96
M2799,Video,Network,0.44
M2800,Audio,Customer Service,0.3
M2801,Video,Event,0.19
M2802,Video,Customer Service,0.26
M2803,Video,Customer Service,0.89
M2804,Video,Event,0.73
M2805,Audio,Customer Service,0.7
M2806,Video,Network,0.14
M2807,Audio,Event,0.45
M2808,Video,Network,0.81
M2809,Image,Network,0.07
M2810,Image,Event,0.0
M2811,Image,Customer Service,0.29
M2812,Video,Network,0.08
M2813,Video,Network,0.06
M2814,Video,Offer,0.55
M2815,Video,Event,0.02
M2816,Image,Network,0.31
M2817,Image,Offer,0.13
M2818,Image,Event,0.09
M2819,Video,Customer Service,0.09
M2820,Video,Event,0.82
M2821,Video,Event,0.33
M2822,Image,Network,0.78
M2823,Audio,Customer Service,0.72
M2824,Video,Network,0.95
M2825,Video,Network,0.5
M2826,Image,Event,0.17
M2827,Audio,Event,0.79
M2828,Image,Event,0.86
M2829,Image,Offer,0.54
M2830,Image,Event,0.88
M2831,Image,Network,0.89
M2832,Audio,Event,0.51
M2833,Video,Customer Service,0.17
M2834,Audio,Customer Service,0.67
M2835,Audio,Offer,0.91
M2836,Video,Network,0.16
M2837,Image,Customer Service,0.03
M2838,Image,Network,0.87
M2839,Video,Offer,0.06
M2840,Video,Event,0.24
M2841,Audio,Customer Service,0.26
M2842,Video,Network,0.59
M2843,Video,Offer,0.92
M2844,Video,Offer,0.77
M2845,Audio,Event,0.15
M2846,Image,Event,0.87
M2847,Video,Customer Service,0.01
M2848,Video,Offer,0.6
M2849,Image,Offer,0.69
M2850,Video,Customer Service,0.83
M2851,Video,Offer,0.27
M2852,Image,Network,0.24
M2853,Video,Customer Service,0.77
M2854,Image,Network,0.57
M2855,Audio,Event,0.72
M2856,Audio,Customer Service,0.38
M2857,Image,Network,0.65
M2858,Image,Event,0.75
M2859,Audio,Event,0.76
M2860,Audio,Offer,0.51
M2861,Audio,Event,0.66
M2862,Audio,Customer Service,0.54
M2863,Image,Offer,0.93
M2864,Video,Offer,0.88
M2865,Image,Customer Service,0.76
M2866,Video,Event,0.64
M2867,Audio,Event,0.52
M2868,Video,Customer Service,0.68
M2869,Audio,Network,0.17
M2870,Audio,Network,0.22
M2871,Audio,Offer,0.07
M2872,Audio,Event,0.36
M2873,Video,Customer Service,0.64
M2874,Audio,Network,0.68
M2875,Image,Customer Service,0.03
M2876,Video,Offer,0.27
M2877,Video,Customer Service,0.61
M2878,Audio,Offer,0.65
M2879,Audio,Event,0.19
M2880,Image,Network,0.6
M2881,Image,Offer,0.59
M2882,Audio,Network,0.48
M2883,Audio,Event,0.15
M2884,Audio,Event,0.65
M2885,Audio,Customer Service,0.07
M2886,Video,Event,0.21
M2887,Video,Event,0.37
M2888,Video,Offer,0.22
M2889,Video,Customer Service,0.22
M2890,Video,Event,0.55
M2891,Audio,Network,0.37
M2892,Image,Event,0.24
M2893,Audio,Event,0.42
M2894,Video,Offer,0.78
M2895,Video,Event,0.59
M2896,Image,Network,0.46
M2897,Image,Offer,0.48
M2898,Video,Offer,0.35
M2899,Image,Event,0.98
M2900,Image,Network,0.72
M2901,Image,Offer,0.08
M2902,Audio,Network,0.84
M2903,Video,Customer Service,0.53
M2904,Image,Event,0.9
M2905,Audio,Customer Service,0.23
M2906,Image,Network,0.19
M2907,Audio,Offer,0.77
M2908,Image,Customer Service,0.54
M2909,Video,Event,0.52
M2910,Video,Network,0.48
M2911,Image,Customer Service,0.68
M2912,Image,Offer,0.63
M2913,Image,Customer Service,0.5
M2914,Audio,Customer Service,0.23
M2915,Image,Customer Service,0.3
M2916,Video,Network,0.91
M2917,Audio,Network,0.47
M2918,Image,Network,0.18
M2919,Image,Customer Service,1.0
M2920,Audio,Network,0.57
M2921,Audio,Customer Service,0.73
M2922,Audio,Network,0.94
M2923,Image,Event,0.77
M2924,Video,Network,0.05
M2925,Image,Network,0.69
M2926,Video,Offer,0.99
M2927,Image,Event,0.32
M2928,Audio,Offer,0.71
M2929,Image,Network,0.33
M2930,Audio,Network,0.8
M2931,Audio,Offer,0.67
M2932,Image,Network,0.36
M2933,Video,Customer Service,0.01
M2934,Audio,Customer Service,0.37
M2935,Audio,Event,0.58
M2936,Audio,Event,0.0
M2937,Image,Network,0.2
M2938,Audio,Network,0.67
M2939,Image,Network,0.52
M2940,Image,Customer Service,0.4
M2941,Video,Customer Service,0.23
M2942,Video,Customer Service,0.2
M2943,Image,Offer,0.04
M2944,Video,Offer,0.12
M2945,Image,Network,0.58
M2946,Video,Offer,0.74
M2947,Video,Offer,0.97
M2948,Audio,Network,0.69
M2949,Audio,Customer Service,0.97
M2950,Audio,Network,0.4
M2951,Image,Event,0.52
M2952,Video,Event,0.73
M2953,Video,Offer,0.16
M2954,Video,Customer Service,0.08
M2955,Audio,Offer,0.55
M2956,Image,Offer,0.52
M2957,Image,Event,0.76
M2958,Video,Network,0.31
M2959,Image,Network,0.47
M2960,Video,Event,0.77
M2961,Image,Customer Service,0.88
M2962,Image,Customer Service,0.68
M2963,Video,Offer,0.05
M2964,Image,Offer,0.11
M2965,Image,Event,0.34
M2966,Image,Network,0.56
M2967,Video,Customer Service,0.91
M2968,Audio,Offer,1.0
M2969,Audio,Event,0.54
M2970,Audio,Event,0.7
M2971,Video,Network,0.63
M2972,Video,Event,0.53
M2973,Image,Offer,0.18
M2974,Audio,Offer,0.03
M2975,Audio,Event,0.71
M2976,Video,Customer Service,0.85
M2977,Image,Event,0.67
M2978,Audio,Offer,0.79
M2979,Audio,Customer Service,0.87
M2980,Audio,Network,0.44
M2981,Image,Customer Service,0.68
M2982,Audio,Customer Service,0.27
M2983,Audio,Customer Service,0.97
M2984,Image,Network,0.47
M2985,Image,Customer Service,0.06
M2986,Image,Event,0.62
M2987,Image,Customer Service,0.61
M2988,Video,Network,0.63
M2989,Image,Event,0.68
M2990,Image,Customer Service,0.32
M2991,Video,Customer Service,0.5
M2992,Audio,Offer,0.12
M2993,Image,Event,0.36
M2994,Image,Customer Service,0.86
M2995,Image,Offer,0.38
M2996,Video,Offer,0.26
M2997,Audio,Offer,1.0
M2998,Image,Customer Service,0.12
M2999,Video,Customer Service,0.55
M3000,Image,Network,0.8
M3001,Audio,Offer,0.86
M3002,Video,Offer,0.18
M3003,Audio,Event,0.91
M3004,Audio,Customer Service,0.85
M3005,Video,Network,0.17
M3006,Audio,Network,0.17
M3007,Video,Customer Service,0.44
M3008,Video,Event,0.8
M3009,Image,Customer Service,0.65
M3010,Audio,Offer,0.28
M3011,Audio,Offer,0.85
M3012,Video,Event,0.21
M3013,Image,Event,0.07
M3014,Audio,Event,0.01
M3015,Video,Event,0.39
M3016,Audio,Customer Service,0.06
M3017,Audio,Offer,0.63
M3018,Video,Network,0.37
M3019,Video,Event,0.17
M3020,Audio,Event,0.86
M3021,Image,Event,0.26
M3022,Video,Network,0.09
M3023,Image,Network,0.92
M3024,Video,Offer,0.41
M3025,Image,Event,0.65
M3026,Audio,Customer Service,0.07
M3027,Video,Event,0.04
M3028,Video,Network,0.8
M3029,Video,Offer,0.11
M3030,Audio,Offer,0.05
M3031,Audio,Event,0.12
M3032,Image,Event,0.73
M3033,Video,Customer Service,0.2
M3034,Video,Customer Service,0.19
M3035,Audio,Network,0.75
M3036,Audio,Network,0.64
M3037,Audio,Customer Service,0.75
M3038,Video,Customer Service,0.21
M3039,Image,Offer,0.52
M3040,Audio,Offer,0.59
M3041,Video,Event,0.64
M3042,Image,Event,0.58
M3043,Image,Customer Service,0.05
M3044,Audio,Event,0.86
M3045,Video,Event,0.04
M3046,Audio,Offer,0.52
M3047,Audio,Offer,0.05
M3048,Video,Network,0.38
M3049,Image,Customer Service,0.28
M3050,Image,Offer,0.56
M3051,Video,Offer,0.68
M3052,Image,Network,0.41
M3053,Audio,Event,1.0
M3054,Audio,Offer,0.73
M3055,Video,Customer Service,0.84
M3056,Audio,Network,0.04
M3057,Audio,Customer Service,0.39
M3058,Image,Offer,0.79
M3059,Video,Customer Service,0.62
M3060,Video,Network,0.02
M3061,Audio,Customer Service,0.1
M3062,Video,Customer Service,0.76
M3063,Image,Network,0.85
M3064,Audio,Customer Service,0.53
M3065,Image,Customer Service,0.43
M3066,Audio,Event,0.42
M3067,Video,Event,0.89
M3068,Video,Customer Service,0.06
M3069,Audio,Network,0.33
M3070,Audio,Event,0.08
M3071,Audio,Offer,0.64
M3072,Audio,Event,0.84
M3073,Image,Customer Service,0.75
M3074,Image,Event,0.62
M3075,Video,Offer,0.22
M3076,Audio,Customer Service,0.29
M3077,Video,Customer Service,0.97
M3078,Video,Offer,0.65
M3079,Image,Offer,0.8
M3080,Video,Event,0.78
M3081,Video,Customer Service,0.5
M3082,Image,Offer,0.2
M3083,Audio,Event,0.08
M3084,Audio,Offer,0.61
M3085,Audio,Network,0.69
M3086,Image,Customer Service,0.96
M3087,Image,Customer Service,0.01
M3088,Audio,Offer,0.26
M3089,Video,Network,0.89
M3090,Image,Event,0.37
M3091,Audio,Event,0.26
M3092,Audio,Customer Service,0.02
M3093,Audio,Offer,0.56
M3094,Audio,Offer,0.36
M3095,Audio,Event,0.2
M3096,Video,Offer,0.51
M3097,Audio,Event,0.05
M3098,Video,Customer Service,0.36
M3099,Image,Event,0.05
M3100,Video,Offer,0.85
M3101,Video,Customer Service,0.79
M3102,Video,Event,0.31
M3103,Image,Network,0.31
M3104,Audio,Event,0.7
M3105,Image,Network,0.01
M3106,Video,Offer,0.83
M3107,Image,Network,0.36
M3108,Image,Network,0.54
M3109,Video,Customer Service,0.45
M3110,Audio,Offer,0.87
M3111,Video,Network,0.68
M3112,Audio,Offer,0.68
M3113,Audio,Event,0.91
M3114,Video,Event,0.81
M3115,Image,Network,0.63
M3116,Image,Event,0.02
M3117,Video,Offer,0.87
M3118,Video,Customer Service,0.97
M3119,Audio,Event,0.69
M3120,Image,Event,0.6
M3121,Image,Event,0.58
M3122,Audio,Network,0.99
M3123,Audio,Customer Service,0.02
M3124,Image,Offer,0.26
M3125,Video,Customer Service,0.32
M3126,Image,Customer Service,0.58
M3127,Image,Offer,0.6
M3128,Audio,Offer,0.97
M3129,Video,Customer Service,0.25
M3130,Video,Customer Service,0.6
M3131,Image,Network,0.68
M3132,Audio,Offer,0.86
M3133,Image,Customer Service,0.46
M3134,Image,Customer Service,0.65
M3135,Image,Customer Service,0.92
M3136,Image,Network,0.41
M3137,Video,Customer Service,0.06
M3138,Video,Customer Service,0.66
M3139,Image,Customer Service,0.9
M3140,Image,Network,0.34
M3141,Audio,Offer,0.03
M3142,Audio,Customer Service,0.42
M3143,Video,Offer,0.08
M3144,Video,Customer Service,0.59
M3145,Image,Offer,0.72
M3146,Image,Network,0.02
M3147,Audio,Event,0.3
M3148,Image,Offer,0.25
M3149,Audio,Offer,0.52
M3150,Video,Network,0.32
M3151,Image,Customer Service,0.17
M3152,Audio,Customer Service,0.13
M3153,Audio,Offer,0.79
M3154,Audio,Network,0.75
M3155,Image,Event,0.58
M3156,Video,Event,0.44
M3157,Image,Customer Service,0.69
M3158,Audio,Network,0.05
M3159,Video,Event,0.94
M3160,Image,Offer,0.49
M3161,Video,Network,0.99
M3162,Video,Offer,0.34
M3163,Video,Offer,0.93
M3164,Image,Event,0.47
M3165,Audio,Customer Service,0.25
M3166,Image,Customer Service,0.42
M3167,Video,Customer Service,0.5
M3168,Audio,Offer,0.6
M3169,Image,Customer Service,0.03
M3170,Audio,Network,0.88
M3171,Video,Customer Service,0.01
M3172,Video,Customer Service,0.01
M3173,Audio,Offer,0.53
M3174,Audio,Customer Service,0.05
M3175,Video,Network,0.98
M3176,Audio,Network,0.55
M3177,Audio,Network,0.41
M3178,Image,Network,0.93
M3179,Video,Event,0.85
M3180,Video,Event,0.63
M3181,Audio,Customer Service,0.25
M3182,Audio,Network,0.57
M3183,Audio,Network,0.57
M3184,Audio,Customer Service,0.04
M3185,Image,Network,0.28
M3186,Video,Customer Service,0.34
M3187,Audio,Customer Service,0.51
M3188,Audio,Network,0.07
M3189,Video,Event,0.34
M3190,Audio,Event,0.86
M3191,Audio,Network,0.23
M3192,Image,Network,0.16
M3193,Image,Network,0.59
M3194,Audio,Offer,0.64
M3195,Image,Customer Service,0.37
M3196,Video,Event,0.02
M3197,Image,Offer,0.99
M3198,Image,Event,0.25
M3199,Image,Customer Service,0.9
M3200,Audio,Offer,0.75
M3201,Image,Customer Service,0.85
M3202,Video,Customer Service,0.03
M3203,Video,Event,0.0
M3204,Audio,Offer,0.26
M3205,Audio,Offer,0.76
M3206,Video,Customer Service,0.73
M3207,Image,Customer Service,0.59
M3208,Image,Customer Service,0.38
M3209,Image,Network,0.52
M3210,Audio,Event,0.9
M3211,Image,Customer Service,0.37
M3212,Video,Event,0.33
M3213,Image,Network,0.24
M3214,Audio,Offer,0.54
M3215,Video,Offer,0.52
M3216,Audio,Customer Service,0.26
M3217,Video,Network,0.24
M3218,Video,Customer Service,0.55
M3219,Image,Offer,0.61
M3220,Image,Customer Service,0.01
M3221,Video,Offer,0.02
M3222,Audio,Network,0.6
M3223,Video,Event,0.19
M3224,Audio,Event,0.46
M3225,Video,Network,0.88
M3226,Image,Network,0.66
M3227,Video,Event,0.19
M3228,Image,Offer,0.99
M3229,Image,Network,0.54
M3230,Image,Offer,0.73
M3231,Audio,Event,0.19
M3232,Audio,Customer Service,0.1
M3233,Image,Event,0.97
M3234,Audio,Event,0.27
M3235,Video,Offer,0.12
M3236,Image,Customer Service,0.8
M3237,Video,Offer,0.32
M3238,Image,Event,0.49
M3239,Video,Network,0.6
M3240,Audio,Network,0.56
M3241,Image,Offer,0.53
M3242,Video,Network,0.4
M3243,Video,Customer Service,0.68
M3244,Audio,Customer Service,0.53
M3245,Video,Offer,0.49
M3246,Video,Offer,0.75
M3247,Image,Offer,0.22
M3248,Video,Network,0.69
M3249,Video,Event,0.53
M3250,Audio,Network,0.35
M3251,Image,Offer,0.39
M3252,Audio,Network,0.66
M3253,Audio,Offer,0.84
M3254,Image,Network,0.66
M3255,Image,Network,0.32
M3256,Image,Network,0.71
M3257,Audio,Event,0.68
M3258,Audio,Event,0.4
M3259,Video,Customer Service,0.91
M3260,Image,Network,0.73
M3261,Video,Customer Service,0.14
M3262,Video,Customer Service,0.19
M3263,Audio,Network,0.76
M3264,Image,Network,0.2
M3265,Image,Network,0.5
M3266,Video,Offer,0.02
M3267,Audio,Customer Service,0.53
M3268,Audio,Event,0.27
M3269,Audio,Offer,0.68
M3270,Image,Offer,0.18
M3271,Image,Customer Service,0.9
M3272,Video,Customer Service,0.97
M3273,Image,Event,0.74
M3274,Video,Network,0.15
M3275,Image,Event,0.59
M3276,Audio,Customer Service,0.04
M3277,Audio,Offer,0.65
M3278,Image,Customer Service,0.97
M3279,Video,Network,0.04
M3280,Video,Network,0.28
M3281,Video,Network,0.88
M3282,Audio,Offer,0.94
M3283,Video,Event,0.36
M3284,Audio,Offer,0.74
M3285,Image,Network,0.14
M3286,Audio,Offer,0.71
M3287,Image,Event,0.09
M3288,Audio,Offer,0.37
M3289,Video,Network,0.54
M3290,Video,Network,0.7
M3291,Video,Event,1.0
M3292,Video,Event,0.13
M3293,Audio,Network,0.24
M3294,Image,Offer,0.82
M3295,Image,Event,0.47
M3296,Audio,Network,0.07
M3297,Video,Network,0.72
M3298,Video,Network,0.71
M3299,Video,Offer,0.56
M3300,Video,Event,0.39
M3301,Audio,Event,0.99
M3302,Image,Offer,0.05
M3303,Video,Event,0.94
M3304,Video,Event,0.89
M3305,Video,Network,0.59
M3306,Image,Customer Service,0.33
M3307,Image,Customer Service,0.94
M3308,Audio,Network,0.14
M3309,Audio,Offer,0.32
M3310,Video,Network,0.88
M3311,Video,Event,0.43
M3312,Image,Customer Service,0.92
M3313,Image,Event,0.16
M3314,Image,Offer,0.54
M3315,Audio,Offer,0.11
M3316,Video,Network,0.44
M3317,Image,Network,0.76
M3318,Image,Customer Service,0.61
M3319,Image,Customer Service,0.23
M3320,Image,Network,0.03
M3321,Video,Customer Service,0.09
M3322,Video,Offer,0.7
M3323,Image,Event,0.56
M3324,Video,Event,0.0
M3325,Image,Offer,0.37
M3326,Video,Event,0.66
M3327,Audio,Event,0.23
M3328,Video,Event,0.21
M3329,Audio,Event,0.65
M3330,Video,Event,0.08
M3331,Audio,Event,0.19
M3332,Audio,Customer Service,0.08
M3333,Audio,Network,0.51
M3334,Image,Event,0.02
M3335,Video,Network,0.72
M3336,Audio,Offer,0.65
M3337,Video,Network,0.21
M3338,Video,Customer Service,0.19
M3339,Video,Event,0.45
M3340,Video,Offer,0.55
M3341,Video,Customer Service,0.22
M3342,Image,Network,0.85
M3343,Video,Event,0.22
M3344,Audio,Event,0.97
M3345,Video,Customer Service,0.49
M3346,Audio,Event,0.44
M3347,Video,Offer,0.7
M3348,Audio,Customer Service,0.12
M3349,Image,Customer Service,0.57
M3350,Image,Offer,0.3
M3351,Image,Network,0.32
M3352,Video,Event,0.98
M3353,Video,Network,0.39
M3354,Video,Customer Service,0.53
M3355,Image,Customer Service,0.06
M3356,Video,Offer,0.43
M3357,Audio,Offer,0.23
M3358,Audio,Network,0.86
M3359,Video,Event,0.56
M3360,Image,Customer Service,0.52
M3361,Video,Network,0.74
M3362,Audio,Offer,0.32
M3363,Audio,Network,0.13
M3364,Image,Network,0.57
M3365,Video,Offer,0.93
M3366,Image,Network,0.88
M3367,Image,Event,0.14
M3368,Image,Offer,0.29
M3369,Video,Event,0.12
M3370,Video,Customer Service,0.6
M3371,Image,Event,0.6
M3372,Audio,Network,0.98
M3373,Video,Customer Service,0.91
M3374,Image,Offer,0.61
M3375,Image,Event,0.22
M3376,Audio,Network,0.5
M3377,Video,Customer Service,0.39
M3378,Image,Customer Service,0.8
M3379,Image,Network,0.76
M3380,Video,Event,0.5
M3381,Audio,Offer,0.63
M3382,Audio,Offer,0.92
M3383,Audio,Customer Service,0.14
M3384,Audio,Event,0.92
M3385,Video,Offer,0.68
M3386,Video,Customer Service,0.05
M3387,Audio,Network,0.63
M3388,Audio,Customer Service,0.16
M3389,Video,Customer Service,0.73
M3390,Video,Network,0.04
M3391,Video,Event,0.3
M3392,Image,Customer Service,0.08
M3393,Image,Offer,0.42
M3394,Video,Event,0.06
M3395,Audio,Event,0.73
M3396,Image,Network,0.76
M3397,Image,Offer,0.65
M3398,Video,Network,0.94
M3399,Video,Customer Service,0.84
M3400,Image,Offer,0.63
M3401,Audio,Customer Service,0.47
M3402,Audio,Offer,0.72
M3403,Video,Network,0.08
M3404,Video,Offer,0.53
M3405,Audio,Event,0.76
M3406,Video,Customer Service,0.69
M3407,Image,Event,0.74
M3408,Image,Offer,0.23
M3409,Video,Offer,0.9
M3410,Video,Offer,0.73
M3411,Audio,Event,0.69
M3412,Video,Network,0.82
M3413,Audio,Customer Service,0.8
M3414,Image,Event,0.02
M3415,Image,Event,0.65
M3416,Audio,Offer,0.95
M3417,Video,Customer Service,0.93
M3418,Image,Event,0.23
M3419,Image,Customer Service,0.68
M3420,Image,Event,0.71
M3421,Video,Event,0.26
M3422,Image,Offer,0.19
M3423,Audio,Network,0.31
M3424,Image,Event,0.75
M3425,Audio,Offer,0.33
M3426,Video,Network,0.8
M3427,Image,Offer,0.65
M3428,Image,Network,0.25
M3429,Video,Offer,0.92
M3430,Audio,Offer,0.32
M3431,Audio,Event,0.27
M3432,Video,Network,0.12
M3433,Video,Offer,0.17
M3434,Image,Customer Service,0.45
M3435,Audio,Customer Service,0.35
M3436,Video,Customer Service,0.31
M3437,Image,Customer Service,0.76
M3438,Video,Offer,0.43
M3439,Audio,Event,0.18
M3440,Audio,Offer,0.94
M3441,Image,Network,0.64
M3442,Audio,Offer,0.43
M3443,Audio,Offer,0.46
M3444,Audio,Offer,0.12
M3445,Image,Event,0.77
M3446,Video,Customer Service,0.49
M3447,Audio,Event,0.04
M3448,Video,Offer,0.87
M3449,Image,Network,0.35
M3450,Video,Offer,0.84
M3451,Audio,Offer,0.57
M3452,Audio,Network,0.52
M3453,Audio,Customer Service,0.79
M3454,Image,Customer Service,0.85
M3455,Audio,Network,0.87
M3456,Audio,Network,0.4
M3457,Image,Offer,0.74
M3458,Video,Event,0.29
M3459,Video,Offer,0.16
M3460,Image,Offer,0.67
M3461,Image,Customer Service,0.6
M3462,Image,Network,0.32
M3463,Video,Network,0.49
M3464,Video,Offer,0.71
M3465,Image,Event,0.77
M3466,Image,Offer,0.32
M3467,Video,Network,0.82
M3468,Image,Event,0.05
M3469,Audio,Network,0.99
M3470,Video,Event,0.63
M3471,Image,Customer Service,0.61
M3472,Image,Customer Service,0.59
M3473,Video,Network,0.9
M3474,Video,Customer Service,0.26
M3475,Video,Network,0.81
M3476,Audio,Network,0.63
M3477,Video,Offer,0.08
M3478,Video,Customer Service,0.46
M3479,Video,Customer Service,0.76
M3480,Image,Network,0.48
M3481,Video,Network,0.53
M3482,Video,Offer,0.73
M3483,Audio,Customer Service,0.85
M3484,Audio,Network,0.59
M3485,Video,Offer,0.66
M3486,Image,Event,0.23
M3487,Image,Offer,0.6
M3488,Image,Network,0.67
