record_id,region,signal_strength,latency_ms,downtime_minutes,date
NP02734,Riffa,1,95,37,2021-11-30
NP02735,Manama,2,182,54,2024-09-09
NP02736,Muharraq,2,70,7,2020-02-08
NP02737,Riffa,2,129,58,2025-09-07
NP02738,Isa Town,5,193,32,2025-09-04
NP02739,Riffa,5,175,41,2020-07-15
NP02740,Riffa,5,111,40,2021-08-28
NP02741,Riffa,1,12,38,2022-03-04
NP02742,Riffa,5,157,9,2023-01-09
NP02743,Isa Town,2,160,9,2021-09-07
NP02744,Manama,5,146,15,2025-09-23
NP02745,Manama,5,19,42,2025-09-01
NP02746,Muharraq,3,115,15,2020-12-09
NP02747,Muharraq,5,197,28,2022-12-22
NP02748,Isa Town,5,183,30,2025-03-08
NP02749,Isa Town,5,147,14,2022-07-29
NP02750,Riffa,5,179,26,2021-08-16
NP02751,Riffa,4,83,4,2022-10-29
NP02752,Riffa,5,10,19,2021-11-01
NP02753,Manama,1,57,45,2022-09-29
NP02754,Manama,2,152,28,2020-11-24
NP02755,Isa Town,5,141,55,2025-02-10
NP02756,Riffa,3,162,58,2024-09-03
NP02757,Isa Town,4,135,44,2022-12-08
NP02758,Muharraq,1,55,4,2021-11-25
NP02759,Isa Town,3,141,48,2020-07-12
NP02760,Isa Town,5,35,45,2020-04-26
NP02761,Isa Town,4,153,26,2020-01-08
NP02762,Muharraq,3,66,30,2023-07-28
NP02763,Isa Town,3,87,27,2022-08-12
NP02764,Riffa,4,100,6,2023-09-12
NP02765,Muharraq,2,100,34,2025-04-26
NP02766,Riffa,5,141,36,2021-09-26
NP02767,Muharraq,2,146,7,2020-12-23
NP02768,Isa Town,1,77,10,2022-09-25
NP02769,Riffa,2,104,0,2020-11-02
NP02770,Manama,5,170,26,2025-06-11
NP02771,Riffa,4,157,7,2024-06-11
NP02772,Riffa,3,178,24,2025-08-24
NP02773,Muharraq,4,167,51,2023-07-29
NP02774,Riffa,3,191,54,2020-05-26
NP02775,Muharraq,4,176,40,2021-08-15
NP02776,Manama,1,61,28,2024-01-20
NP02777,Manama,2,117,27,2022-12-12
NP02778,Muharraq,1,124,21,2025-07-02
NP02779,Manama,2,31,19,2020-01-03
NP02780,Isa Town,2,119,31,2021-07-23
NP02781,Isa Town,4,130,49,2023-03-29
NP02782,Riffa,4,82,54,2024-09-22
NP02783,Manama,3,149,34,2023-05-09
NP02784,Isa Town,1,154,50,2024-06-03
NP02785,Riffa,1,115,45,2024-07-27
NP02786,Isa Town,3,116,59,2020-07-08
NP02787,Isa Town,2,29,3,2023-10-27
NP02788,Muharraq,5,99,50,2023-11-06
NP02789,Isa Town,2,58,27,2020-03-29
NP02790,Manama,2,148,28,2024-02-02
NP02791,Muharraq,5,108,55,2024-10-13
NP02792,Isa Town,3,131,58,2020-11-18
NP02793,Manama,5,87,57,2020-09-19
NP02794,Riffa,3,82,13,2024-06-27
NP02795,Riffa,1,186,44,2022-08-18
NP02796,Manama,2,18,3,2020-03-26
NP02797,Isa Town,3,156,40,2023-05-25
NP02798,Manama,3,78,47,2023-02-08
NP02799,Riffa,4,127,43,2020-05-09
NP02800,Riffa,3,158,5,2022-09-20
NP02801,Manama,3,168,29,2025-04-13
NP02802,Isa Town,4,28,26,2020-04-19
NP02803,Manama,4,61,16,2021-02-23
NP02804,Isa Town,2,122,9,2021-05-12
NP02805,Riffa,1,174,43,2022-05-04
NP02806,Isa Town,4,199,38,2020-12-08
NP02807,Muharraq,2,160,23,2020-05-12
NP02808,Isa Town,3,67,54,2024-02-03
NP02809,Isa Town,1,132,6,2021-11-10
NP02810,Isa Town,4,105,18,2024-05-25
NP02811,Manama,1,77,46,2025-02-19
NP02812,Riffa,4,26,39,2024-05-05
NP02813,Manama,4,189,26,2021-11-03
NP02814,Isa Town,1,169,12,2021-07-29
NP02815,Isa Town,1,83,4,2024-06-28
NP02816,Manama,2,115,24,2023-03-16
NP02817,Muharraq,3,29,57,2023-11-27
NP02818,Isa Town,1,129,21,2025-01-01
NP02819,Isa Town,3,27,23,2020-08-18
NP02820,Manama,3,159,16,2020-10-01
NP02821,Manama,4,64,20,2021-04-23
NP02822,Manama,5,12,28,2021-08-18
NP02823,Manama,5,111,59,2025-07-17
NP02824,Manama,3,131,8,2021-08-03
NP02825,Isa Town,1,186,24,2024-07-26
NP02826,Isa Town,3,131,3,2022-04-28
NP02827,Isa Town,4,19,51,2020-06-16
NP02828,Riffa,3,189,0,2023-10-10
NP02829,Manama,1,127,56,2023-12-07
NP02830,Isa Town,4,22,33,2023-09-18
NP02831,Manama,3,50,31,2022-09-03
NP02832,Manama,2,164,47,2023-02-26
NP02833,Manama,5,181,4,2020-09-27
NP02834,Isa Town,5,190,28,2022-06-25
NP02835,Muharraq,4,12,17,2022-07-25
NP02836,Riffa,1,200,7,2025-06-02
NP02837,Isa Town,4,198,51,2022-09-09
NP02838,Manama,2,173,37,2021-11-01
NP02839,Riffa,2,163,53,2022-10-16
NP02840,Muharraq,4,25,44,2021-05-04
NP02841,Riffa,2,29,55,2023-07-21
NP02842,Riffa,2,196,1,2021-05-31
NP02843,Riffa,1,146,5,2022-11-19
NP02844,Isa Town,2,86,57,2025-01-04
NP02845,Manama,3,22,24,2024-12-25
NP02846,Muharraq,5,179,34,2025-04-19
NP02847,Muharraq,2,125,46,2025-04-09
NP02848,Isa Town,2,89,2,2025-03-20
NP02849,Manama,2,163,26,2024-12-19
NP02850,Riffa,1,83,31,2022-09-28
NP02851,Manama,5,10,42,2021-03-20
NP02852,Muharraq,4,176,59,2020-07-27
NP02853,Riffa,5,133,39,2020-12-04
NP02854,Riffa,4,103,29,2023-03-02
NP02855,Manama,1,124,49,2023-09-08
NP02856,Manama,4,151,15,2021-02-14
NP02857,Isa Town,1,141,57,2023-05-17
NP02858,Isa Town,3,196,21,2022-06-01
NP02859,Manama,2,10,31,2021-11-24
NP02860,Riffa,1,102,44,2022-02-23
NP02861,Isa Town,1,168,33,2021-12-04
NP02862,Isa Town,1,24,40,2025-07-02
NP02863,Riffa,4,33,25,2024-10-21
NP02864,Isa Town,3,189,31,2021-10-24
NP02865,Muharraq,5,157,25,2024-02-13
NP02866,Muharraq,2,128,45,2020-04-11
NP02867,Isa Town,2,144,33,2025-04-21
NP02868,Manama,2,119,34,2021-02-05
NP02869,Isa Town,1,139,49,2020-07-16
NP02870,Isa Town,5,69,22,2022-06-04
NP02871,Isa Town,5,119,39,2024-06-10
NP02872,Manama,4,197,44,2020-11-12
NP02873,Riffa,3,57,15,2024-12-07
NP02874,Manama,1,186,14,2023-03-09
NP02875,Muharraq,5,47,51,2023-10-21
NP02876,Muharraq,2,162,44,2023-10-25
NP02877,Riffa,3,55,55,2022-11-22
NP02878,Muharraq,3,71,46,2020-09-23
NP02879,Manama,3,37,7,2024-04-24
NP02880,Isa Town,4,151,43,2024-11-01
NP02881,Isa Town,4,139,12,2021-03-21
NP02882,Muharraq,3,155,30,2023-06-02
NP02883,Muharraq,5,199,37,2023-02-04
NP02884,Manama,5,173,39,2021-10-20
NP02885,Riffa,3,26,3,2020-08-29
NP02886,Isa Town,1,169,15,2022-09-05
NP02887,Muharraq,5,144,44,2025-09-23
NP02888,Isa Town,3,176,35,2025-08-19
NP02889,Riffa,3,195,32,2024-01-10
NP02890,Isa Town,4,104,31,2023-12-05
NP02891,Isa Town,2,20,25,2021-01-02
NP02892,Isa Town,3,150,45,2024-08-30
NP02893,Isa Town,4,106,4,2020-12-01
NP02894,Riffa,3,174,44,2020-11-29
NP02895,Isa Town,4,178,41,2024-02-05
NP02896,Muharraq,4,93,39,2021-08-20
NP02897,Isa Town,5,33,27,2023-08-28
NP02898,Muharraq,2,132,19,2020-01-29
NP02899,Muharraq,2,145,7,2025-02-01
NP02900,Manama,4,113,53,2024-09-01
NP02901,Muharraq,2,14,34,2023-02-12
NP02902,Muharraq,3,92,35,2023-03-12
NP02903,Manama,2,162,21,2021-03-09
NP02904,Muharraq,5,51,14,2021-06-10
NP02905,Riffa,5,153,33,2024-03-18
NP02906,Manama,3,22,41,2023-09-28
NP02907,Riffa,5,97,39,2021-01-28
NP02908,Muharraq,4,159,11,2020-04-16
NP02909,Isa Town,3,93,46,2022-05-23
NP02910,Muharraq,3,10,7,2022-04-24
NP02911,Manama,1,46,29,2021-09-20
NP02912,Muharraq,1,36,35,2023-05-10
NP02913,Isa Town,1,21,25,2022-10-01
NP02914,Riffa,3,78,14,2020-07-16
NP02915,Isa Town,2,119,47,2022-06-06
NP02916,Isa Town,3,167,12,2020-05-20
NP02917,Riffa,1,54,52,2023-11-14
NP02918,Muharraq,2,142,25,2025-07-19
NP02919,Isa Town,3,161,29,2024-12-17
NP02920,Isa Town,4,128,37,2020-09-10
NP02921,Isa Town,5,34,60,2024-08-15
NP02922,Manama,3,10,50,2022-06-09
NP02923,Riffa,1,33,2,2022-11-06
NP02924,Manama,1,81,47,2022-08-21
NP02925,Muharraq,1,10,23,2022-11-20
NP02926,Manama,2,80,18,2021-01-31
NP02927,Manama,4,88,20,2020-11-30
NP02928,Muharraq,1,143,15,2024-08-22
NP02929,Isa Town,4,109,48,2021-02-11
NP02930,Manama,5,95,24,2021-07-08
NP02931,Muharraq,3,200,14,2025-05-30
NP02932,Muharraq,2,50,12,2020-06-11
NP02933,Isa Town,1,189,55,2024-04-02
NP02934,Manama,3,43,53,2024-09-09
NP02935,Isa Town,2,142,42,2024-11-28
NP02936,Muharraq,2,37,10,2025-05-23
NP02937,Muharraq,5,139,39,2023-01-31
NP02938,Isa Town,3,158,4,2025-09-29
NP02939,Isa Town,5,200,4,2024-08-05
NP02940,Manama,3,141,47,2025-01-20
NP02941,Muharraq,1,195,24,2022-02-18
NP02942,Isa Town,2,167,60,2025-08-30
NP02943,Riffa,1,195,55,2025-01-02
NP02944,Manama,3,78,25,2024-08-18
NP02945,Muharraq,4,130,4,2022-01-04
NP02946,Riffa,4,28,8,2024-11-16
NP02947,Muharraq,5,81,37,2023-11-01
NP02948,Muharraq,5,38,59,2022-09-06
NP02949,Muharraq,4,19,53,2021-11-29
NP02950,Riffa,2,161,15,2024-09-20
NP02951,Isa Town,2,83,35,2020-05-31
NP02952,Manama,2,124,4,2025-02-17
NP02953,Manama,5,142,46,2021-04-21
NP02954,Muharraq,2,197,24,2020-07-24
NP02955,Isa Town,5,80,6,2022-07-28
NP02956,Riffa,1,25,20,2023-07-05
NP02957,Muharraq,3,57,52,2024-07-05
NP02958,Riffa,5,63,52,2023-10-30
NP02959,Manama,4,184,57,2023-01-31
NP02960,Riffa,4,189,19,2025-03-08
NP02961,Muharraq,3,121,37,2022-06-05
NP02962,Isa Town,3,114,21,2022-08-30
NP02963,Isa Town,4,58,57,2022-05-30
NP02964,Isa Town,1,74,16,2023-11-24
NP02965,Isa Town,2,189,35,2025-03-30
NP02966,Isa Town,4,67,11,2022-07-03
NP02967,Riffa,3,14,5,2020-07-31
NP02968,Manama,5,40,41,2021-02-16
NP02969,Muharraq,5,177,2,2024-11-03
NP02970,Muharraq,2,172,38,2022-01-08
NP02971,Manama,3,35,46,2021-08-20
NP02972,Muharraq,2,157,41,2025-01-31
NP02973,Manama,2,134,18,2023-05-14
NP02974,Manama,3,33,33,2024-04-02
NP02975,Muharraq,4,29,8,2023-10-28
NP02976,Riffa,4,180,27,2020-07-24
NP02977,Isa Town,2,134,32,2020-05-03
NP02978,Muharraq,4,188,17,2021-01-04
NP02979,Riffa,2,100,58,2025-01-30
NP02980,Isa Town,1,163,56,2024-12-16
NP02981,Riffa,3,200,14,2021-05-24
NP02982,Muharraq,5,38,47,2021-06-30
NP02983,Manama,1,56,33,2023-11-17
NP02984,Riffa,3,66,44,2022-06-21
NP02985,Manama,4,122,51,2021-02-20
NP02986,Muharraq,3,53,56,2020-11-26
NP02987,Manama,5,152,10,2022-05-16
NP02988,Muharraq,5,38,9,2021-09-22
NP02989,Muharraq,3,123,45,2022-05-25
NP02990,Isa Town,4,18,17,2022-06-24
NP02991,Muharraq,5,161,23,2021-11-09
NP02992,Muharraq,3,96,58,2020-04-02
NP02993,Manama,2,153,17,2022-08-16
NP02994,Riffa,5,177,41,2020-06-30
NP02995,Isa Town,1,11,1,2022-03-13
NP02996,Manama,2,33,17,2022-09-17
NP02997,Isa Town,5,141,21,2021-08-26
NP02998,Muharraq,5,74,14,2023-05-19
NP02999,Muharraq,5,121,13,2025-07-30
NP03000,Manama,2,95,53,2024-05-09
NP03001,Manama,3,184,13,2025-07-13
NP03002,Manama,1,154,46,2020-01-20
NP03003,Isa Town,1,19,31,2025-02-25
NP03004,Manama,2,185,41,2023-09-17
NP03005,Riffa,1,101,27,2022-10-29
NP03006,Manama,1,114,17,2023-10-21
NP03007,Isa Town,3,137,6,2023-10-04
NP03008,Muharraq,5,179,13,2025-08-05
NP03009,Isa Town,4,34,50,2022-12-18
NP03010,Muharraq,1,49,34,2021-11-12
NP03011,Muharraq,4,35,41,2021-04-27
NP03012,Isa Town,3,181,24,2025-06-15
NP03013,Manama,1,34,54,2021-02-07
NP03014,Isa Town,5,121,41,2023-04-13
NP03015,Manama,5,84,11,2024-02-02
NP03016,Muharraq,4,34,57,2024-09-17
NP03017,Muharraq,3,53,28,2024-02-07
NP03018,Muharraq,1,169,59,2021-04-10
NP03019,Muharraq,4,83,17,2020-01-30
NP03020,Riffa,2,33,20,2024-11-16
NP03021,Isa Town,2,90,8,2024-01-10
NP03022,Manama,5,105,10,2024-03-16
NP03023,Manama,3,144,43,2020-06-03
NP03024,Manama,4,15,32,2023-04-01
NP03025,Muharraq,2,19,23,2021-11-28
NP03026,Isa Town,1,22,50,2025-01-08
NP03027,Muharraq,3,133,21,2023-09-28
NP03028,Manama,4,179,16,2021-11-08
NP03029,Riffa,3,71,42,2024-07-29
NP03030,Riffa,1,19,14,2022-06-19
NP03031,Isa Town,2,14,30,2021-11-02
NP03032,Isa Town,3,130,29,2024-10-16
NP03033,Muharraq,1,11,25,2024-08-09
NP03034,Riffa,3,76,1,2022-06-16
NP03035,Isa Town,1,168,1,2023-01-22
NP03036,Isa Town,1,66,28,2020-06-19
NP03037,Manama,4,181,44,2023-12-16
NP03038,Isa Town,2,85,23,2021-04-13
NP03039,Manama,3,151,57,2020-07-02
NP03040,Manama,3,135,46,2021-08-29
NP03041,Riffa,4,116,16,2022-06-30
NP03042,Isa Town,4,181,34,2021-03-14
NP03043,Riffa,2,22,51,2025-07-29
NP03044,Isa Town,4,75,35,2025-07-14
NP03045,Manama,5,55,19,2023-10-25
NP03046,Isa Town,4,40,8,2025-08-12
NP03047,Muharraq,1,44,28,2021-05-05
NP03048,Manama,4,125,26,2020-03-12
NP03049,Riffa,1,44,12,2020-10-23
NP03050,Manama,3,159,39,2021-01-16
NP03051,Riffa,2,51,58,2023-12-19
NP03052,Isa Town,4,34,48,2021-12-30
NP03053,Riffa,5,88,2,2024-04-27
NP03054,Manama,4,191,8,2024-07-20
NP03055,Riffa,2,72,21,2021-09-13
NP03056,Isa Town,1,106,44,2024-11-06
NP03057,Riffa,3,198,43,2021-12-13
NP03058,Riffa,1,23,40,2023-12-21
NP03059,Muharraq,1,37,11,2022-10-18
NP03060,Manama,2,48,55,2020-03-21
NP03061,Isa Town,1,16,8,2025-08-27
NP03062,Manama,1,114,10,2023-01-24
NP03063,Riffa,4,131,13,2023-06-15
NP03064,Muharraq,4,53,54,2024-05-11
NP03065,Isa Town,4,166,18,2021-01-25
NP03066,Isa Town,3,192,55,2021-10-19
NP03067,Isa Town,1,87,11,2020-07-11
NP03068,Muharraq,4,61,54,2025-09-20
NP03069,Isa Town,5,164,7,2022-04-08
NP03070,Manama,5,19,49,2021-12-21
NP03071,Muharraq,1,168,31,2024-03-22
NP03072,Muharraq,4,145,38,2023-02-17
NP03073,Manama,2,90,37,2023-06-10
NP03074,Isa Town,4,200,60,2023-02-26
NP03075,Muharraq,5,132,16,2024-12-03
NP03076,Muharraq,1,116,43,2025-04-27
NP03077,Muharraq,1,50,44,2022-09-08
NP03078,Isa Town,5,25,48,2020-05-06
NP03079,Manama,1,52,37,2022-09-18
NP03080,Muharraq,2,98,20,2022-10-15
NP03081,Isa Town,4,110,25,2020-06-02
NP03082,Isa Town,5,115,33,2023-04-27
NP03083,Isa Town,5,104,1,2025-06-06
NP03084,Riffa,5,64,43,2024-11-13
NP03085,Riffa,4,26,29,2020-05-23
NP03086,Manama,1,73,3,2024-04-24
NP03087,Muharraq,3,88,15,2024-08-24
NP03088,Isa Town,4,139,42,2020-08-19
NP03089,Riffa,1,11,46,2023-01-10
NP03090,Manama,2,138,0,2024-10-10
NP03091,Riffa,4,48,36,2022-01-01
NP03092,Isa Town,3,44,53,2025-09-09
NP03093,Riffa,3,43,6,2025-02-23
NP03094,Isa Town,1,124,25,2022-10-08
NP03095,Muharraq,3,143,13,2023-04-27
NP03096,Muharraq,4,200,43,2022-11-04
NP03097,Isa Town,3,88,55,2020-09-11
NP03098,Riffa,5,33,54,2023-03-31
NP03099,Riffa,5,190,29,2023-03-19
NP03100,Manama,1,99,1,2021-05-10
NP03101,Manama,2,87,7,2020-09-09
NP03102,Isa Town,2,103,44,2025-08-08
NP03103,Muharraq,2,160,19,2021-07-03
NP03104,Riffa,3,173,31,2021-01-18
NP03105,Muharraq,2,162,9,2021-01-13
NP03106,Muharraq,2,67,2,2025-02-20
NP03107,Muharraq,5,140,36,2020-07-10
NP03108,Isa Town,3,173,53,2020-07-31
NP03109,Riffa,4,92,52,2022-03-21
NP03110,Muharraq,4,55,18,2023-11-03
NP03111,Manama,2,197,14,2020-01-02
NP03112,Manama,1,54,58,2024-01-04
NP03113,Manama,2,128,5,2023-11-09
NP03114,Isa Town,4,13,28,2025-05-11
NP03115,Manama,2,98,52,2020-08-06
NP03116,Isa Town,3,47,41,2022-12-27
NP03117,Muharraq,1,156,10,2020-10-18
NP03118,Muharraq,2,57,6,2020-05-06
NP03119,Muharraq,1,79,40,2021-04-16
NP03120,Muharraq,4,98,51,2025-06-27
NP03121,Muharraq,1,52,5,2023-03-17
NP03122,Isa Town,4,57,6,2025-07-17
NP03123,Isa Town,2,45,39,2022-12-04
NP03124,Manama,1,122,24,2024-07-01
NP03125,Muharraq,3,76,0,2024-06-27
NP03126,Manama,4,97,30,2025-09-14
NP03127,Riffa,2,60,33,2022-04-04
NP03128,Isa Town,2,23,12,2021-08-19
NP03129,Isa Town,4,171,4,2022-12-14
NP03130,Muharraq,3,168,22,2023-05-01
NP03131,Manama,2,175,8,2021-05-04
NP03132,Riffa,3,39,58,2024-11-01
NP03133,Muharraq,5,45,10,2025-02-18
NP03134,Manama,5,187,0,2020-02-21
NP03135,Muharraq,2,55,8,2025-04-18
NP03136,Muharraq,3,154,14,2020-02-12
NP03137,Isa Town,4,165,44,2025-05-15
NP03138,Manama,5,160,49,2022-03-26
NP03139,Riffa,3,175,3,2024-11-06
NP03140,Muharraq,4,161,41,2022-07-24
NP03141,Manama,4,138,18,2024-06-28
NP03142,Riffa,2,91,36,2021-07-31
NP03143,Muharraq,3,66,7,2021-11-27
NP03144,Riffa,2,20,36,2023-08-19
NP03145,Muharraq,4,96,50,2020-10-04
NP03146,Manama,1,197,18,2021-05-18
NP03147,Muharraq,1,36,28,2024-06-01
NP03148,Muharraq,1,115,15,2020-05-23
NP03149,Manama,2,87,25,2022-07-12
NP03150,Muharraq,3,28,53,2020-03-23
NP03151,Muharraq,5,40,41,2025-08-19
NP03152,Manama,4,178,17,2021-11-20
NP03153,Manama,5,177,21,2025-01-22
NP03154,Muharraq,2,20,60,2025-06-23
NP03155,Manama,5,119,39,2023-03-11
NP03156,Isa Town,4,111,0,2022-01-25
NP03157,Manama,4,151,11,2020-12-13
NP03158,Manama,5,176,27,2024-07-15
NP03159,Muharraq,5,58,27,2023-07-05
NP03160,Muharraq,3,30,8,2025-07-08
NP03161,Manama,4,175,36,2020-09-23
NP03162,Isa Town,1,143,55,2020-01-30
NP03163,Muharraq,5,88,16,2021-07-15
NP03164,Riffa,3,31,16,2023-07-14
NP03165,Manama,4,27,48,2020-05-18
NP03166,Muharraq,2,60,59,2024-01-26
NP03167,Muharraq,1,76,56,2021-05-04
NP03168,Isa Town,3,72,25,2024-11-24
NP03169,Riffa,1,151,6,2021-09-16
NP03170,Muharraq,3,191,24,2022-01-21
NP03171,Riffa,5,35,44,2021-04-13
NP03172,Muharraq,5,88,47,2024-01-04
NP03173,Muharraq,4,114,60,2020-03-26
NP03174,Riffa,4,150,25,2023-08-20
NP03175,Riffa,2,142,44,2020-05-14
NP03176,Riffa,2,30,26,2024-07-30
NP03177,Isa Town,3,57,13,2024-08-25
NP03178,Isa Town,4,196,32,2020-07-12
NP03179,Muharraq,5,40,50,2021-02-04
NP03180,Manama,4,177,50,2023-08-13
NP03181,Muharraq,3,92,2,2020-07-26
NP03182,Isa Town,1,171,25,2024-04-08
NP03183,Manama,1,81,38,2025-07-31
NP03184,Muharraq,3,148,36,2021-09-26
NP03185,Manama,2,71,46,2023-11-26
NP03186,Riffa,4,141,2,2020-10-24
NP03187,Muharraq,5,123,51,2021-12-20
NP03188,Riffa,3,109,47,2024-11-08
NP03189,Manama,1,120,42,2024-05-07
NP03190,Isa Town,2,42,29,2022-01-28
NP03191,Isa Town,3,184,13,2020-02-13
NP03192,Muharraq,5,155,4,2022-06-25
NP03193,Isa Town,1,186,27,2024-08-15
NP03194,Isa Town,1,145,59,2023-05-24
NP03195,Riffa,5,146,14,2024-01-16
NP03196,Riffa,4,187,12,2021-09-15
NP03197,Isa Town,3,37,35,2021-09-26
NP03198,Manama,4,125,38,2020-08-23
NP03199,Riffa,2,100,28,2020-12-17
NP03200,Riffa,1,200,0,2022-03-27
NP03201,Riffa,1,49,1,2021-06-03
NP03202,Manama,2,158,30,2023-03-21
NP03203,Riffa,5,15,22,2022-04-16
NP03204,Manama,4,81,52,2024-03-17
NP03205,Manama,3,24,2,2024-06-26
NP03206,Muharraq,4,81,49,2025-05-09
NP03207,Riffa,1,73,11,2024-12-26
NP03208,Muharraq,4,91,8,2025-06-20
NP03209,Muharraq,5,103,47,2025-04-13
NP03210,Muharraq,5,81,25,2024-10-27
NP03211,Riffa,1,75,6,2020-03-26
NP03212,Muharraq,5,139,18,2024-04-03
NP03213,Isa Town,4,94,44,2023-04-10
NP03214,Muharraq,3,37,12,2021-03-19
NP03215,Isa Town,1,187,33,2020-04-17
NP03216,Muharraq,3,12,16,2020-08-15
NP03217,Riffa,3,97,0,2020-01-10
NP03218,Muharraq,1,44,21,2025-07-28
NP03219,Muharraq,3,184,27,2021-08-29
NP03220,Isa Town,4,60,12,2022-03-25
NP03221,Riffa,3,15,51,2023-06-05
NP03222,Riffa,3,90,28,2024-06-25
NP03223,Manama,2,45,20,2021-03-27
NP03224,Manama,2,169,13,2023-08-20
NP03225,Riffa,4,132,3,2021-04-27
NP03226,Muharraq,5,57,34,2021-09-14
NP03227,Muharraq,1,180,42,2020-02-26
NP03228,Isa Town,3,195,18,2020-08-22
NP03229,Isa Town,4,89,43,2021-10-02
NP03230,Riffa,1,170,3,2020-06-17
NP03231,Manama,1,149,5,2025-02-18
NP03232,Riffa,5,87,16,2022-04-08
NP03233,Manama,4,189,6,2023-03-02
NP03234,Manama,3,151,54,2024-05-07
NP03235,Isa Town,2,199,7,2022-07-23
NP03236,Manama,4,75,25,2022-06-17
NP03237,Muharraq,3,25,11,2020-12-18
NP03238,Muharraq,4,131,23,2021-04-12
NP03239,Riffa,4,70,41,2023-07-05
NP03240,Isa Town,4,83,18,2020-04-01
NP03241,Muharraq,4,136,0,2020-11-05
NP03242,Muharraq,3,29,34,2020-11-12
NP03243,Muharraq,2,158,23,2021-11-20
NP03244,Manama,4,76,23,2021-05-09
NP03245,Riffa,3,24,17,2023-01-27
NP03246,Isa Town,1,125,57,2020-05-03
NP03247,Manama,5,92,12,2025-04-05
NP03248,Muharraq,1,17,35,2022-11-03
NP03249,Isa Town,3,46,45,2023-05-14
NP03250,Isa Town,2,89,47,2024-02-25
NP03251,Manama,5,23,54,2020-08-10
NP03252,Muharraq,5,22,36,2024-09-16
NP03253,Isa Town,2,175,50,2023-03-01
NP03254,Manama,4,151,46,2020-01-27
NP03255,Manama,4,112,39,2022-02-09
NP03256,Riffa,3,115,8,2021-06-28
NP03257,Isa Town,4,94,8,2020-12-06
NP03258,Riffa,5,102,38,2020-03-12
NP03259,Muharraq,1,100,42,2024-10-15
NP03260,Isa Town,5,98,14,2021-06-09
NP03261,Manama,4,39,56,2023-02-14
NP03262,Manama,5,87,59,2023-12-16
NP03263,Muharraq,1,36,11,2024-12-31
NP03264,Muharraq,4,188,0,2021-02-23
NP03265,Riffa,5,152,15,2020-06-26
NP03266,Manama,5,89,26,2020-06-26
NP03267,Riffa,2,55,49,2021-11-19
NP03268,Manama,1,118,5,2024-01-22
NP03269,Muharraq,4,144,42,2020-04-11
NP03270,Muharraq,3,137,11,2024-04-07
NP03271,Manama,1,85,38,2020-12-25
NP03272,Isa Town,3,45,12,2021-09-11
NP03273,Isa Town,1,158,38,2025-02-20
NP03274,Muharraq,5,155,44,2022-10-28
NP03275,Muharraq,3,75,8,2022-09-15
NP03276,Muharraq,5,64,50,2022-01-01
NP03277,Riffa,3,199,18,2025-04-30
NP03278,Isa Town,2,172,8,2023-02-08
NP03279,Muharraq,5,163,15,2023-03-24
NP03280,Riffa,3,182,22,2020-12-09
NP03281,Isa Town,4,104,51,2025-03-28
NP03282,Isa Town,2,152,58,2021-06-15
NP03283,Muharraq,1,166,14,2021-07-13
NP03284,Muharraq,4,127,36,2024-03-10
NP03285,Manama,1,22,22,2022-01-07
NP03286,Riffa,5,23,11,2025-04-19
NP03287,Manama,4,29,49,2024-06-17
NP03288,Riffa,4,95,51,2024-07-24
NP03289,Manama,3,71,58,2025-03-06
NP03290,Riffa,1,185,54,2020-06-24
NP03291,Manama,5,27,50,2024-09-08
NP03292,Muharraq,4,119,11,2023-06-20
NP03293,Riffa,3,36,59,2020-04-25
NP03294,Isa Town,3,25,6,2021-02-06
NP03295,Isa Town,4,38,60,2025-03-27
NP03296,Riffa,2,49,59,2021-04-13
NP03297,Muharraq,3,160,6,2022-09-24
NP03298,Muharraq,5,62,11,2022-10-01
NP03299,Muharraq,5,91,23,2024-10-26
NP03300,Riffa,3,98,53,2024-04-29
NP03301,Manama,1,44,0,2022-07-02
NP03302,Isa Town,1,102,36,2020-10-05
NP03303,Muharraq,4,48,30,2024-05-27
NP03304,Isa Town,3,22,1,2024-08-13
NP03305,Isa Town,4,65,47,2024-07-17
NP03306,Riffa,2,131,50,2020-12-24
NP03307,Riffa,4,118,12,2024-02-03
NP03308,Riffa,3,170,57,2020-06-23
NP03309,Muharraq,2,119,2,2024-03-14
NP03310,Muharraq,3,182,21,2020-01-20
NP03311,Muharraq,5,93,20,2023-10-29
NP03312,Manama,2,182,49,2024-12-20
NP03313,Muharraq,4,27,44,2020-01-20
NP03314,Isa Town,3,159,35,2023-09-19
NP03315,Manama,3,148,26,2021-05-01
NP03316,Riffa,3,197,38,2024-12-02
NP03317,Manama,2,76,33,2024-10-09
NP03318,Riffa,5,184,38,2024-07-14
NP03319,Muharraq,4,145,47,2024-05-14
NP03320,Isa Town,1,99,12,2022-02-01
NP03321,Muharraq,5,156,15,2020-05-02
NP03322,Muharraq,3,141,14,2023-05-31
NP03323,Muharraq,1,169,33,2022-07-22
NP03324,Isa Town,2,16,60,2020-02-16
NP03325,Riffa,1,57,10,2021-01-26
NP03326,Muharraq,3,158,9,2022-09-09
NP03327,Manama,3,39,29,2020-04-19
NP03328,Muharraq,4,33,51,2025-08-13
NP03329,Manama,4,52,18,2021-07-24
NP03330,Manama,3,100,14,2020-12-01
NP03331,Muharraq,1,175,38,2023-07-18
NP03332,Isa Town,2,113,10,2023-04-15
